,Castle 1,Castle 2,Castle 3,Castle 4,Castle 5,Castle 6,Castle 7,Castle 8,Castle 9,Castle 10,cluster
0,2,2,2,2,6,18,2,28,36,2,2
1,1,2,1,11,19,27,37,1,1,1,1
2,2,2,4,5,6,22,6,22,22,8,2
3,2,2,4,6,6,10,11,14,17,28,3
4,1,2,2,3,16,22,1,1,33,20,0
5,2,2,11,12,12,16,16,17,6,6,1
6,1,2,1,9,3,1,24,28,31,1,2
7,1,2,5,8,9,11,12,15,16,19,3
8,4,2,14,13,13,2,15,15,10,10,3
9,2,2,5,20,4,20,4,20,4,20,3
10,1,2,12,14,7,16,18,20,3,5,1
11,1,2,1,3,5,20,21,33,7,7,1
12,3,2,12,14,5,19,23,12,6,4,1
13,4,2,0,0,0,0,0,31,31,31,0
14,1,2,6,10,14,15,23,24,3,3,1
15,1,2,1,2,1,15,21,26,31,1,2
16,1,2,1,21,1,1,21,21,31,1,2
17,1,2,0,0,1,14,33,33,14,2,1
18,1,2,1,1,1,19,19,19,19,19,3
19,3,2,7,9,11,2,16,19,15,14,3
20,1,2,1,1,23,23,24,24,1,1,1
21,3,2,3,3,3,10,15,20,30,10,2
22,1,2,2,8,10,15,17,19,23,3,2
23,4,2,7,4,4,4,32,34,4,4,1
24,2,2,3,14,2,16,2,4,32,23,0
25,2,2,4,5,7,9,26,33,6,5,1
26,4,2,4,4,16,4,16,29,16,4,2
27,6,2,7,0,0,0,22,26,0,36,3
28,3,2,6,10,13,18,29,7,6,5,1
29,2,2,9,9,12,2,29,28,2,3,1
30,1,2,1,1,1,5,5,10,25,50,0
31,2,2,5,8,10,11,12,14,16,18,3
32,1,2,1,1,1,1,90,1,1,1,1
33,1,2,1,2,14,15,2,28,32,4,2
34,4,2,7,9,11,13,14,16,13,11,3
35,1,2,5,7,9,11,13,15,17,19,3
36,4,2,4,5,5,16,5,5,21,32,0
37,1,2,6,11,11,17,17,17,11,6,1
38,2,2,6,12,12,2,21,3,31,8,2
39,1,2,3,5,10,18,24,30,4,4,1
40,3,2,4,4,6,8,11,11,23,27,0
41,2,2,4,6,8,9,18,20,12,18,3
42,1,2,10,0,0,0,0,29,29,29,0
43,1,2,9,4,6,14,9,8,21,26,0
44,2,2,3,12,15,7,14,14,17,13,3
45,1,2,2,2,2,2,29,29,29,2,2
46,1,2,5,5,5,5,5,32,5,34,3
47,1,2,4,4,22,22,17,17,6,6,1
